epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
1,1.119997,0.85861,0.7688,0.68,0.001
2,0.629713,0.788922,0.8564,0.7367,0.00099726
3,0.466363,0.820272,0.8985,0.7078,0.00098908
4,0.349888,0.9227,0.9143,0.7122,0.00097555
5,0.275586,0.872079,0.9531,0.7233,0.00095682
6,0.198699,0.885471,0.9649,0.7311,0.00093308
7,0.158665,0.962122,0.9762,0.7422,0.0009046
8,0.118939,1.038976,0.982,0.7344,0.0008717
9,0.095192,1.045557,0.9869,0.7333,0.00083473
