epoch,accuracy,loss,val_accuracy,val_loss
0,0.6467261910438538,0.9359062910079956,0.3466666638851166,1.6179157495498657
1,0.7907142639160156,0.5714079737663269,0.6811110973358154,1.0573132038116455
2,0.8702976107597351,0.3600778579711914,0.6566666960716248,1.1415005922317505
3,0.9375,0.1808387041091919,0.7066666483879089,1.057571291923523
4,0.9729762077331543,0.08435935527086258,0.7599999904632568,0.9833495020866394
5,0.9883333444595337,0.037700455635786057,0.7755555510520935,1.1070200204849243
6,0.9979761838912964,0.009909156709909439,0.7655555605888367,1.122933268547058
7,0.999404788017273,0.004662418272346258,0.7766666412353516,1.1358174085617065
8,0.9997023940086365,0.003418287727981806,0.7811111211776733,1.1426969766616821
9,0.9995238184928894,0.00335149304009974,0.7777777910232544,1.1436015367507935
