epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
1,1.069307,0.879481,0.7346,0.6856,0.001
2,0.639184,0.816694,0.8124,0.7089,0.001
3,0.507926,0.805165,0.8532,0.7189,0.00099975
4,0.432287,0.793801,0.8776,0.7233,0.00099901
5,0.381406,0.800794,0.8968,0.7178,0.00099778
6,0.346192,0.823881,0.9043,0.7233,0.00099606
7,0.315628,0.81544,0.9208,0.7233,0.00099385
8,0.290738,0.842868,0.9255,0.7233,0.00099115
9,0.271546,0.849496,0.9292,0.7222,0.00098797
10,0.256774,0.855152,0.9398,0.7244,0.00098431
11,0.24103,0.890779,0.9404,0.7311,0.00098017
12,0.228994,0.902134,0.9459,0.7356,0.00097555
13,0.220433,0.903102,0.9523,0.7344,0.00097047
14,0.208281,0.934711,0.9533,0.7211,0.00096492
